Participant information: First name,Participant information: Last name,Participant information: Gender,Participant information: Student cell phone,Participant information: Residence hall,Participant information: Room number,Contact information: Student’s phone number,Parent/guardian information: First name,Parent/guardian information: Last name,Parent/guardian information: Primary phone,Parent/guardian information: Relationship,Parent/guardian information: Parent/guardian primary language,Parent/guardian 2 information: First name,Parent/guardian 2 information: Last name,Parent/guardian 2 information: Relationship,Parent/guardian 2 information: Parent/guardian cell phone,Parent/guardian 2 information: Parent/guardian primary language,Photo upload and roommate request: Pacific id: Your pacific id,Program,Schedule,Tuition,Participant ID,Participant external ID
John18,johnson19,Male,2099369475,John Ballantyne Hall 3,JOB-0308A,,,,,,,,,,,,,John Ballantyne Hall 3,Session 1,Housing,67d4ba5f6d581a20adff428c,510008848
John19,johnson20,Male,2094131907,Grace Covell Hall 3,GCH-0341A,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,6a011a92bc47605a7fe5d3b1,510008847
John20,johnson21,Female,2094564563,Grace Covell Hall 2,GCH-0255A,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,6a00c1efb44fb187ec789fbf,510008845
John21,johnson22,Male,2096896192,Grace Covell Hall 3,GCH-0301A,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,6a002dad8f3919ed57ece134,510008844
John22,johnson23,Female,2092260497,Grace Covell Hall 1,GCH-0174A,,,,,,,,,,,,,Grace Covell Hall 1,Session 1,Housing,69ff91e9873c269ac41a109a,510008842
John23,johnson24,Male,2096738269,Grace Covell Hall 3,GCH-0329A,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69ff8834b0617a85a24a1963,510008841
John24,johnson25,Female,3502299302,Ritter House 2,RIT-0211A,,,,,,,,,,,,,Ritter House 2,Session 1,Housing,69fe7bbe5d2cbe68181f180b,510008839
John25,johnson26,Female,2092806731,Grace Covell Hall 2,GCH-0241B,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69fe4c7a996f2473c5d1a0af,510008838
John26,johnson27,Female,2093230201,Grace Covell Hall 2,GCH-0219B,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69fd60069a742f7e0f40c15c,510008834
John27,johnson28,Female,2099929739,Jessie Ballantyne Hall 2,JEB-0229A,,,,,,,,,,,,,Jessie Ballantyne Hall 2,Session 1,Housing,69fcdad0ce53305049a1cf14,510008833
John28,johnson29,Female,2093056884,Jessie Ballantyne Hall 3,JEB-0303B,,,,,,,,,,,,,Jessie Ballantyne Hall 3,Session 1,Housing,69fbf9674b4df8785dadfc89,510008832
John29,johnson30,Female,9253214135,Grace Covell Hall 3,GCH-0398A,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69fbca7a7d0244eddd0756a5,510008831
John30,johnson31,Male,2094567427,Price House 3,PRH-0313A,,,,,,,,,,,,,Price House 3,Session 1,Housing,69f8db68a0043acd581bab18,510008823
John31,johnson32,Male,2093465382,Grace Covell Hall 3,GCH-0396A,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,675d06264b219bf17a5c8e74,510008822
John32,johnson33,Male,2092290493,John Ballantyne Hall 3,JOB-0305B,,,,,,,,,,,,,John Ballantyne Hall 3,Session 1,Housing,69f98b98200e4d8a1b2a2681,510008821
John33,johnson34,Female,2099902968,Ritter House 3,RIT-0308B,,,,,,,,,,,,,Ritter House 3,Session 1,Housing,69f9646ff34f8200b67fd5f1,510008819
John34,johnson35,Female,2094140004,Ritter House 2,RIT-0206B,,,,,,,,,,,,,Ritter House 2,Session 1,Housing,67c550d84e37861419092712,510008818
John35,johnson36,Female,2092839876,Grace Covell Hall 3,GCH-0399B,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,65bdd08c6b4c6e0675b7342c,510008817
John36,johnson37,Male,2098809674,Grace Covell Hall 3,GCH-0384A,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69f95bb4eb71d73735a9a6b0,510008816
John37,johnson38,Female,5109881583,Jessie Ballantyne Hall 3,JEB-0302A,,,,,,,,,,,,,Jessie Ballantyne Hall 3,Session 1,Housing,69f95454eb71d73735a9a56f,510008815
John38,johnson39,Female,2099150737,Jessie Ballantyne Hall 3,JEB-0325B,,,,,,,,,,,,,Jessie Ballantyne Hall 3,Session 1,Housing,69f95335ea6d125d52d38153,510008814
John39,johnson40,Male,2092904492,Grace Covell Hall 3,GCH-0331B,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69cc4f2fbc64d3303e52bd3d,510008812
John40,johnson41,Female,2094909206,Casa Jackson 3,CJK-0308A,,,,,,,,,,,,,Casa Jackson 3,Session 1,Housing,65b55924392b621e0b4ae486,510008810
John41,johnson42,Male,2096414904,Grace Covell Hall 3,GCH-0333B,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,67e5a582af169197d116223b,510008809
John42,johnson43,Female,4085023875,Grace Covell Hall 2,GCH-0269A,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69e6ec776e6ba2c94da19f36,510008808
John43,johnson44,Male,9167938718,Wemyss Hall 1,WEM-0112A,,,,,,,,,,,,,Wemyss Hall 1,Session 1,Housing,69f835cf515ab9cc977d163d,510008806
John44,johnson45,Female,2096894778,Grace Covell Hall 1,GCH-0172B,,,,,,,,,,,,,Grace Covell Hall 1,Session 1,Housing,69f6cef8d6640ae4f9b28b5a,510008804
John45,johnson46,Female,2092448193,Ritter House 2,RIT-0208A,,,,,,,,,,,,,Ritter House 2,Session 1,Housing,69f65c61d6640ae4f9b28961,510008803
John46,johnson47,Female,5104611026,Ritter House 3,RIT-0310A,,,,,,,,,,,,,Ritter House 3,Session 1,Housing,69f52967fd1a74750ed6a6ba,510008801
John47,johnson48,Female,2092768920,Grace Covell Hall 2,GCH-0265B,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69f508006634ae9d60a8f510,510008799
John48,johnson49,Female,2093139114,Jessie Ballantyne Hall 2,JEB-0215B,,,,,,,,,,,,,Jessie Ballantyne Hall 2,Session 1,Housing,64509caebf159ce379cb2ab5,510008797
John49,johnson50,Male,5106865666,Grace Covell Hall 3,GCH-0321B,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69f441b499501f45aea649cd,510008793
John50,johnson51,Male,2096898394,John Ballantyne Hall 2,JOB-0202B,,,,,,,,,,,,,John Ballantyne Hall 2,Session 1,Housing,645f236d792172876f349313,510008792
John51,johnson52,Male,2099053089,Price House 3,PRH-0310B,,,,,,,,,,,,,Price House 3,Session 1,Housing,679c8b68bc4310f3099f36c1,510008789
John52,johnson53,Male,2094709936,Grace Covell Hall 3,GCH-0328B,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69f3ad0399501f45aea62e03,510008786
John53,johnson54,Female,4796510542,Grace Covell Hall 1,GCH-0172A,,,,,,,,,,,,,Grace Covell Hall 1,Session 1,Housing,67e3083da846b34738dd9f54,510008785
John54,johnson55,Male,6506302523,Wemyss Hall 1,WEM-0103A,,,,,,,,,,,,,Wemyss Hall 1,Session 1,Housing,69f2d3105630a3ac39e5a616,510008784
John55,johnson56,Female,2095198372,Ritter House 2,RIT-0210A,,,,,,,,,,,,,Ritter House 2,Session 1,Housing,69ec555d6e73c15cc2ac53c6,510008780
John56,johnson57,Female,2093618337,Grace Covell Hall 1,GCH-0109B,,,,,,,,,,,,,Grace Covell Hall 1,Session 1,Housing,69f2a2d80371ba3193fdd62c,510008779
John57,johnson58,Female,2098895385,Grace Covell Hall 2,GCH-0212B,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69f275900371ba3193fdd2fc,510008776
John58,johnson59,Male,9499926050,Grace Covell Hall 3,GCH-0336B,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,6a03ff80763887f100082c46,510008771
John59,johnson60,Female,5104588442,Grace Covell Hall 1,GCH-0137A,,,,,,,,,,,,,Grace Covell Hall 1,Session 1,Housing,69f14251bd145b66dc254a32,510008770
John60,johnson61,Female,2099904467,Grace Covell Hall 2,GCH-0265A,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69f10ae27f222625a7e0d11c,510008768
John61,johnson62,Female,2093197270,Grace Covell Hall 2,GCH-0241A,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69f0f3a7f01902dd4a4b09ff,510008767
John62,johnson63,Female,2096276890,Grace Covell Hall 2,GCH-0293A,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69e97de49e1d43125c8acc66,510008766
John63,johnson64,Other,2093903940,Grace Covell Hall 1,GCH-0109A,,,,,,,,,,,,,Grace Covell Hall 1,Session 1,Housing,69ee94080021fe969be9b731,510008765
John64,johnson65,Male,2093219114,Grace Covell Hall 3,GCH-0326B,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,663ec26f443fb2943b1c8866,510008764
John65,johnson66,Male,2099155859,Wemyss Hall 3,WEM-0303A,,,,,,,,,,,,,Wemyss Hall 3,Session 1,Housing,69f032880845dae0a2e1cce8,510008763
John66,johnson67,Male,2096373517,Grace Covell Hall 3,GCH-0360A,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69f00ee80845dae0a2e1c0ab,510008760
John67,johnson68,Female,2096707359,Grace Covell Hall 2,GCH-0295A,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69f004a20845dae0a2e1bc9d,510008758
John68,johnson69,Male,6693458453,Grace Covell Hall 3,GCH-0367B,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69eec9cc8d374d1399d72ae0,510008755
John69,johnson70,Male,2099233634,Grace Covell Hall 3,GCH-0309B,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69e6e3d96e6ba2c94da19b0c,510008754
John70,johnson71,Female,2095100684,Grace Covell Hall 2,GCH-0291B,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69efe4ba0845dae0a2e1a9cc,510008753
John71,johnson72,Female,5108566707,Grace Covell Hall 1,GCH-0135B,,,,,,,,,,,,,Grace Covell Hall 1,Session 1,Housing,69efcb283d60d838e831b875,510008751
John72,johnson73,Female,4082066077,Ritter House 2,RIT-0211B,,,,,,,,,,,,,Ritter House 2,Session 1,Housing,69eec51f8d374d1399d72a56,510008744
John73,johnson74,Female,2093309093,Grace Covell Hall 2,GCH-0219A,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69ed2c25a67deed115b0dd6b,510008739
John74,johnson75,Male,2096478605,Grace Covell Hall 3,GCH-0374A,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69b18624c167c5a524db6e9a,510008738
John75,johnson76,Male,2098792870,Price House 3,PRH-0305A,,,,,,,,,,,,,Price House 3,Session 1,Housing,69cbee3305137ca9f58dc2fc,510008737
John76,johnson77,Male,2095189877,Grace Covell Hall 3,GCH-0370A,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69ec290c6e73c15cc2ac4e79,510008736
John77,johnson78,Male,2096108033,Grace Covell Hall 3,GCH-0369B,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69ec0d677657d2a5106f6e3f,510008735
John78,johnson79,Female,2099869397,Grace Covell Hall 2,GCH-0203A,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69bb92e3a64d9cd3046c5182,510008733
John79,johnson80,Male,2098898546,Wemyss Hall 3,WEM-0314B,,,,,,,,,,,,,Wemyss Hall 3,Session 1,Housing,69eaedc84a32c8bc8be8c79f,510008732
John80,johnson81,Female,2094204399,Grace Covell Hall 2,GCH-0262B,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69ea8106067e848048d2db29,510008729
John81,johnson82,Female,2092357276,Casa Werner 2,CWA-0216A,,,,,,,,,,,,,Casa Werner 2,Session 1,Housing,69ea80c24a32c8bc8be8b022,510008728
John82,johnson83,Female,2098916765,Grace Covell Hall 2,GCH-0299B,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,682cd00c980b2b40d8970de8,510008724
John83,johnson84,Female,2099159364,Casa Werner 3,CWA-0315B,,,,,,,,,,,,,Casa Werner 3,Session 1,Housing,6740e0ce7f55ed019cb4aa7b,510008720
John84,johnson85,Male,2092768406,Price House 3,PRH-0313B,,,,,,,,,,,,,Price House 3,Session 1,Housing,69e25b423115bd11cf1b93d6,510008718
John85,johnson86,Male,2096651423,Grace Covell Hall 3,GCH-0339B,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69e83fc71e54b13c8a289201,510008717
John86,johnson87,Female,2099985215,Ritter House 3,RIT-0313B,,,,,,,,,,,,,Ritter House 3,Session 1,Housing,69e831c245448081c730fed1,510008714
John87,johnson88,Female,2099810442,Ritter House 2,RIT-0210B,,,,,,,,,,,,,Ritter House 2,Session 1,Housing,65bdd02b6b4c6e0675b73417,510008707
John88,johnson89,Male,2094793840,Grace Covell Hall 3,GCH-0331A,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69e6e14d966a013018f96e37,510008705
John89,johnson90,Male,2095184621,Wemyss Hall 2,WEM-0213B,,,,,,,,,,,,,Wemyss Hall 2,Session 1,Housing,69e7d9f134353f3db21c292b,510008703
John90,johnson91,Female,6506190521,Grace Covell Hall 1,GCH-0193B,,,,,,,,,,,,,Grace Covell Hall 1,Session 1,Housing,69e710fa45448081c730c958,510008700
John91,johnson92,Female,2097922046,Ritter House 2,RIT-0208B,,,,,,,,,,,,,Ritter House 2,Session 1,Housing,69e6f3346e6ba2c94da1a0ff,510008697
John92,johnson93,Female,2095131636,Grace Covell Hall 1,GCH-0115A,,,,,,,,,,,,,Grace Covell Hall 1,Session 1,Housing,69e6db29966a013018f96a25,510008691
John93,johnson94,Male,6693880371,Wemyss Hall 3,WEM-0312A,,,,,,,,,,,,,Wemyss Hall 3,Session 1,Housing,69e3e866601fe60c713bc7e6,510008689
John94,johnson95,Male,2094873971,Wemyss Hall 2,WEM-0203B,,,,,,,,,,,,,Wemyss Hall 2,Session 1,Housing,69e6b2ef966a013018f95ccf,510008687
John95,johnson96,Male,2099051610,Price House 3,PRH-0312A,,,,,,,,,,,,,Price House 3,Session 1,Housing,69e69ace966a013018f9569a,510008686
John96,johnson97,Male,2098125013,Price House 3,PRH-0312B,,,,,,,,,,,,,Price House 3,Session 1,Housing,69e69a2f6e6ba2c94da18304,510008685
John97,johnson98,Female,2097371337,Grace Covell Hall 1,GCH-0135A,,,,,,,,,,,,,Grace Covell Hall 1,Session 1,Housing,69e679238a63025b416f81f0,510008681
John98,johnson99,Male,2099546992,John Ballantyne Hall 2,JOB-0209B,,,,,,,,,,,,,John Ballantyne Hall 2,Session 1,Housing,69e6639d8a63025b416f7b06,510008680
John99,johnson100,Female,2099389955,Grace Covell Hall 1,GCH-0197B,,,,,,,,,,,,,Grace Covell Hall 1,Session 1,Housing,67fdb68cfc44e8341898fa0e,510008672
John100,johnson101,Male,2098716018,Wemyss Hall 1,WEM-0114A,,,,,,,,,,,,,Wemyss Hall 1,Session 1,Housing,69e5b0bc6e6ba2c94da15660,510008671
John101,johnson102,Female,2093050729,Grace Covell Hall 1,GCH-0171B,,,,,,,,,,,,,Grace Covell Hall 1,Session 1,Housing,69e54b032d051b06d18967ad,510008666
John102,johnson103,Male,2094908480,Price House 3,PRH-0310A,,,,,,,,,,,,,Price House 3,Session 1,Housing,65b54fb8993fbbb45ae6fadd,510008663
John103,johnson104,Female,2099299835,Ritter House 3,RIT-0303B,,,,,,,,,,,,,Ritter House 3,Session 1,Housing,69e4480f2d051b06d1894e9a,510008661
John104,johnson105,Female,2095659624,Ritter House 2,RIT-0206A,,,,,,,,,,,,,Ritter House 2,Session 1,Housing,69e4445b3d618e576ac080d9,510008660
John105,johnson106,Male,3413148683,Price House 3,PRH-0307A,,,,,,,,,,,,,Price House 3,Session 1,Housing,69e432bc3d618e576ac07e95,510008658
John106,johnson107,Male,3414650558,Price House 3,PRH-0307B,,,,,,,,,,,,,Price House 3,Session 1,Housing,69e431dd3d618e576ac07e72,510008657
John107,johnson108,Male,2096738674,Grace Covell Hall 3,GCH-0355B,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69e414813d618e576ac07aaf,510008653
John108,johnson109,Male,2095132142,Grace Covell Hall 3,GCH-0321A,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69e409af3d618e576ac0799c,510008651
John109,johnson110,Male,2096417615,Grace Covell Hall 3,GCH-0367A,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69e401742d051b06d18945c0,510008649
John110,johnson111,Female,2096990315,Ritter House 3,RIT-0310B,,,,,,,,,,,,,Ritter House 3,Session 1,Housing,69e3f3f73d618e576ac0780e,510008645
John111,johnson112,Female,2099331293,Ritter House 3,RIT-0302A,,,,,,,,,,,,,Ritter House 3,Session 1,Housing,69e3f2ac2d051b06d1894439,510008644
John112,johnson113,Male,2094609147,Farley House 1,FAR-0114B,,,,,,,,,,,,,Farley House 1,Session 1,Housing,69e3ea422d051b06d189428a,510008642
John113,johnson114,Female,2096969259,Ritter House 3,RIT-0301A,,,,,,,,,,,,,Ritter House 3,Session 1,Housing,69e3e5cf3d618e576ac0752c,510008640
John114,johnson115,Female,2097477199,Ritter House 2,RIT-0205B,,,,,,,,,,,,,Ritter House 2,Session 1,Housing,69e3d9c5601fe60c713bc546,510008637
John115,johnson116,Female,7073395019,Ritter House 2,RIT-0205A,,,,,,,,,,,,,Ritter House 2,Session 1,Housing,69e3d973601fe60c713bc517,510008636
John116,johnson117,Male,2099053956,Grace Covell Hall 3,GCH-0365A,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69e3cbd82d051b06d1893d30,510008634
John117,johnson118,Female,5106348805,Ritter House 2,RIT-0202A,,,,,,,,,,,,,Ritter House 2,Session 1,Housing,69e3c3ced37ae424a1f7dada,510008632
John118,johnson119,Female,2094209770,Eiselen House 1,EIS-0118B,,,,,,,,,,,,,Eiselen House 1,Session 1,Housing,675ce670881d5e00d29edc87,510008631
John119,johnson120,Female,2099861743,Jessie Ballantyne Hall 2,JEB-0215A,,,,,,,,,,,,,Jessie Ballantyne Hall 2,Session 1,Housing,69e39e4dc2268007cf6b9ff4,510008630
John120,johnson121,Female,2094868673,Grace Covell Hall 1,GCH-0171A,,,,,,,,,,,,,Grace Covell Hall 1,Session 1,Housing,69e3c111c2268007cf6ba88d,510008629
John121,johnson122,Male,5104534027,Price House 3,PRH-0306B,,,,,,,,,,,,,Price House 3,Session 1,Housing,67ede59fda3616e3f4c16a1e,510008626
John122,johnson123,Female,2099019662,Grace Covell Hall 2,GCH-0201A,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69e3bca9601fe60c713bbff6,510008625
John123,johnson124,Male,2094069978,John Ballantyne Hall 3,JOB-0317B,,,,,,,,,,,,,John Ballantyne Hall 3,Session 1,Housing,69e3bb44601fe60c713bbf3d,510008624
John124,johnson125,Male,2096707170,Price House 3,PRH-0306A,,,,,,,,,,,,,Price House 3,Session 1,Housing,67fde48b850bfea48138c20e,510008623
John125,johnson126,Male,2092713730,Wemyss Hall 2,WEM-0205A,,,,,,,,,,,,,Wemyss Hall 2,Session 1,Housing,675cec904b219bf17a5c899d,510008621
John126,johnson127,Male,2094206878,Farley House 3,FAR-0313A,,,,,,,,,,,,,Farley House 3,Session 1,Housing,69e3b11ad37ae424a1f7d782,510008620
John127,johnson128,Female,2099058207,Ritter House 3,RIT-0303A,,,,,,,,,,,,,Ritter House 3,Session 1,Housing,69e3b0b8601fe60c713bbd00,510008619
John128,johnson129,Female,2099019875,Ritter House 3,RIT-0301B,,,,,,,,,,,,,Ritter House 3,Session 1,Housing,69e3afecc2268007cf6ba3e7,510008618
John129,johnson130,Female,2096878029,Ritter House 3,RIT-0313A,,,,,,,,,,,,,Ritter House 3,Session 1,Housing,69e3a6e5601fe60c713bbb56,510008616
John130,johnson131,Female,2099159065,Casa Jackson 3,CJK-0316B,,,,,,,,,,,,,Casa Jackson 3,Session 1,Housing,674e7275953e58dc0cc4731c,510008614
John131,johnson132,Female,2099909719,Grace Covell Hall 2,GCH-0236A,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69e1706dde7a1a5a8c04f070,510008612
John132,johnson133,Male,2092227344,Grace Covell Hall 3,GCH-0309A,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69e168fbde7a1a5a8c04eed5,510008611
John133,johnson134,Female,2094963641,Ritter House 2,RIT-0202B,,,,,,,,,,,,,Ritter House 2,Session 1,Housing,69e0f79437665ab1c0d31e71,510008610
John134,johnson135,Female,5103312773,Jessie Ballantyne Hall 2,JEB-0209C,,,,,,,,,,,,,Jessie Ballantyne Hall 2,Session 1,Housing,69defa56ac03590ee93122e9,510008607
John135,johnson136,Female,6507327815,Grace Covell Hall 1,GCH-0170B,,,,,,,,,,,,,Grace Covell Hall 1,Session 1,Housing,69deed59ac03590ee9311e59,510008604
John136,johnson137,Female,2094019556,Jessie Ballantyne Hall 1,JEB-0110A,,,,,,,,,,,,,Jessie Ballantyne Hall 1,Session 1,Housing,69dee5f2dd7b8089a6988240,510008603
John137,johnson138,Female,2094947868,Ritter House 2,RIT-0201A,,,,,,,,,,,,,Ritter House 2,Session 1,Housing,69c75ab3e157875568504690,510008602
John138,johnson139,Female,415-212-1459,Grace Covell Hall 2,GCH-0270B,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69dd76caef2e7e54fb647b15,510008596
John139,johnson140,Female,2093610499,Ritter House 2,RIT-0201B,,,,,,,,,,,,,Ritter House 2,Session 1,Housing,69c743c046436371ea63bd37,510008595
John140,johnson141,Male,4085073936,Grace Covell Hall 3,GCH-0307B,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69dc54ce4a5233229c777689,510008594
John141,johnson142,Female,2093990656,Ritter House 1,RIT-0112A,,,,,,,,,,,,,Ritter House 1,Session 1,Housing,69db2ab4c62ac852fb6f564a,510008590
John142,johnson143,Male,2096429598,Grace Covell Hall 3,GCH-0336A,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,69d98ac45057ec08ceb4ed76,510008587
John143,johnson144,Female,2094304369,Ritter House 1,RIT-0112B,,,,,,,,,,,,,Ritter House 1,Session 1,Housing,69d93d7a1c3a21b00d8513da,510008586
John144,johnson145,Female,2094719354,Jessie Ballantyne Hall 3,JEB-0321B,,,,,,,,,,,,,Jessie Ballantyne Hall 3,Session 1,Housing,69d58f269150043cec495247,510008581
John145,johnson146,Female,2094948206,Ritter House 3,RIT-0315A,,,,,,,,,,,,,Ritter House 3,Session 1,Housing,69d46c89580d2377c14845ee,510008577
John146,johnson147,Male,2096962930,Farley House 2,FAR-0210A,,,,,,,,,,,,,Farley House 2,Session 1,Housing,69d49b85db5b092d9656b797,510008576
John147,johnson148,Male,9252898795,Price House 2,PRH-0208B,,,,,,,,,,,,,Price House 2,Session 1,Housing,698fe1efea22ccdb4fd9fa87,510008575
John148,johnson149,Female,2093905751,Grace Covell Hall 2,GCH-0298A,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69cc6bfdbc64d3303e52c2ab,510008569
John149,johnson150,Female,2094052170,Grace Covell Hall 2,GCH-0297B,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69cf23361271469085185d43,510008563
John150,johnson151,Female,2094701614,Grace Covell Hall 1,GCH-0130A,,,,,,,,,,,,,Grace Covell Hall 1,Session 1,Housing,69cc8fda204b091ee9015396,510008562
John151,johnson152,Male,2098169718,Wemyss Hall 2,WEM-0203A,,,,,,,,,,,,,Wemyss Hall 2,Session 1,Housing,69be30f8ed7868bf0edc9224,510008561
John152,johnson153,Female,2096990338,Ritter House 1,RIT-0111B,,,,,,,,,,,,,Ritter House 1,Session 1,Housing,69cddfbb1271469085180d84,510008560
John153,johnson154,Female,2099331676,Grace Covell Hall 2,GCH-0277B,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69cdb2c08229ea2ba8ea1e66,510008559
John154,johnson155,Female,2097677325,Ritter House 1,RIT-0111A,,,,,,,,,,,,,Ritter House 1,Session 1,Housing,69cdc6e88229ea2ba8ea22da,510008558
